video_id,comments
xy2pO4z6ZUA,"['Ima bang your muk', ""Hope vik enjoyed his food with w2s  ballsack juices all over them. He's the last person I'd ever let touch my food"", 'Simons mouthfuls....pause', ""13:07\nThere was literally no need for that Tobi. I'm not trying to hate but it's Christmas and the guys are all having a nice time enjoying Christmas Dinner and you said something which clearly upset Ethan. Before you said that, he was talking and laughing and then after that he just looked depressed for the rest of the video. He even said there was no need for that and Simon even said it too. Let him eat how much he want man stop being tight on him. But no hate tho just saying. I still love the Sidemen."", 'There eating food', 'simon and josh goin back and forth lol', 'Where’s JJ', 'Someone please tell Ethan to not give himself a heart attack by doing an ice bath and a jacuzzi right after 😭 you are entertaining Ethan, we need you here with us for many mor decades', 'Viks autobiography should be called ""to be fair tho""', 'It might be a bit offensive, but for Tobi: The Brown Mile.']"
d6L5_TWzwEg,"[""I hate these click bait showing JJ in the thumbnail... Have some dignity & don't do that ffs"", 'Sometimes I wonder where is SideWOmen', 'Ethan looks like a dodgy ginger Santa', 'Amp secret santa was wayy better', 'Wait so vik got tobi the fried chicken candy 😂😂😂', 'These presents seemed like they went to spencers or a random shop and grabbed everything from one place 😂', 'They edited jj into the thumbnail😂', 'A sidemen video without the 2 worst sidemen. This might be my favourite sidemen vid 🙌🏻', 'Seeing this make me realize how sad my life is. Sitting in a void with not a single soul pitting to care.', 'The lads are just to funny']"
QvJ1pW8tjRA,"['The fact that Harry had to go to the bathroom twice 😂😂', 'When I first started watching sideman I didn’t know KSI was in it. 🎉', 'I used to do this with my family it was fun', 'Ksi is weirdly quiet in this video', 'Its ksi boat they say but he didnt know he had a lift😂', 'anyone know what camera theyre using and microphone?', 'Kids in the comments be like finally no clickbait, as if the sidemen aint in the video at all', ""HARRY DIDN'T WASH HIS HANDS"", 'I swear randy lost 🤣', ""Is that real KSI 's yacht?""]"
znLKDpynqBg,"['4:15 so random', 'Josh trying to reach the fire but getting shot and killed on the way every time was funny AF!😂🤣', 'which song is Playing at 23:45', 'Nag i wanted lazar to win this is bs', 'They ended the video with ""Su*k my arse* \n😭🤣🤣🤣', 'Harry technically finished on 7 gg better than josh', 'Ngl I got JJ baited lmao', 'Toby is playing on a nintendo 3ds with those frames', 'Harry’s Geoguesser experience really came to the forefront in that search round 😂', 'To be fair that wasn’t fair on lanan']"
iB0GEz-BGko,"['Wat happened', 'Stupid this is. He always in a hoodie anyway \nHe might as well be bald now and nobody knows', 'Tobi jizzle no more! : now baldi jizzle', 'Noooooooo😮', 'Why Tobi  say “ uh- huh “ like that', 'Tobi does’nt even have that much hair…', 'did it get the #1', 'Oh no', '🤣🤣🤣', 'Too bad it sucked! JME was sick, the rest made me feel sick trying to rap']"
wBRT3F6V0lw,"['Ruined the song honestly', ""1 month later after Christmas it's still a bop"", 'Yo when Toby goes in it’s goes offffffff!', ""Why does tobi's voice clap with any beat, This has to be the best music video with tobi in it yet👏"", ""I'm kind of an EDM fan, I liked the original. But if I wanna get good vibes I'll listen to this. This is so perfectly executed. The only downside is that this remix is happy, and a drilling song shouldn't be happy. Even though I prefer this compared to the original"", 'Vik should never become a rapper', 'So no one gonna point out they spelled Kris Kringle wrong?', 'A great way to groove into 2023! Thank u @sidemen 🎶 🙏🏽', 'this single alone is better than that lad baby crap', 'Wow! Superb!! ❤❤❤']"
4zJQb4f4sYM,"['Awkward moment when brocolli is your favourite food', 'What did Josh say at 14:40 ? I couldn’t hear it', 'Vikk lookin🤭', 'the thumbnail reminds me of a famous meme picture.', 'Vikk’s haircut suits him very well 😻', 'ABBA x SIDEMEN crossover?', 'pay no mind to the swastika right there 10:39', 'When KSI told us to sub i literally did just cuz of the motivation🤣', 'Why is every comment about vik 😂', 'u sould have gone to rome ive been there and theres so much more things to do in rome than milan']"
tfyYS4YKkVI,"['i thought he was gonna draw a swastika💀💀', '""YOUR A HAZARD HARRY""', 'This is around the time he says something that can’t be said on youtube', 'Surprised he hasn’t got laser eye surgery yet', 'He’s gotta wear that and tell us his spell!', 'New fan cast for the cursed child movie', 'It’s the ‘SPECCY’ that always gets me', 'Harry lewis and the chamber of ket', 'What frames are those glasses', 'Brotha just say ""lookalike""']"
pZLlKgoCK38,"['Playback speed to 1.25x sounds sightly faster than the OG.', 'Vik and Tobi carry this song', 'Tobis verse was class', 'Didn’t Vikk play this somewhere in London? There’s a short clip of it.', 'This remix sounds perfect for rocket league', 'This remix is like a party song now...😂', 'nahhh this is a Ali A intro', 'i mean this is just the best christmas gift!!', ""Tobi's part goes HARD"", 'Mer Chrisma 🫂❤']"
B1TNOaxRarM,"['I love that Return of the King edit for JJ😂', '1:07\nKsi fell into the void😂😂😂', 'Everyone has normal graphics meanwhile Harry having ultra relistic', '3:18 ""I might die to this slime, you know?""\nFamous last words from a millionaire Minecraft streamer', 'Broooo we need more minecraft i have been laughing the whole video.', 'KSI Prime just chilling', 'This was class', 'More minecraftttt', ""Editors take note: Turn down KSI's volume by.... a lot."", 'I like how Harry is the only one with a good quality texture pack']"
QQLBfSuWajU,"['I love how josh used the kwebbelkop refrence "" LETS DO THIS""', ""10:35 that's what she said"", 'why does viz rarely speak lmao', 'banging video!!!', 'Bogs dancing this whole video gives me life', 'How high is Harry?', 'Harry keeps tripping me the fuck out with his movements. whats going on?!', ""Anyone else find Harry's cam movement A little annoying"", 'I can’t believe it will be 10 years from next year - makes you feel old -makes you feel like we need a new gta game', 'Anyone noticed Harry rocking side to side for no reason']"
quNMhwjO1pc,"['I love how they all have a big headset and then there’s Harry', 'Aww Henry is so sweet people are so mean to him 😭😭', 'Love boys', 'You’re really talented', 'Everyone ignored tobi asking Simon why he scared of fish….. very sad', 'I mean I get it Ethans dad is gone.. why are there so many jokes about it? 20:12 At that point you can see the hidden sadness in his face', 'So much laughter but so little to laugh about', 'I LOVE CHICKEN', 'Zip, Zuca, Zhyd', 'You can really tell when Harry actually kicks off, that insult to Simon was so real mans face went red and eyes changed the lot 😂']"
sDh9EZ4nBBI,"['Vik was in spectator mode', 'why was jjs song muted for copyright reasons when hes in the sidemen and said all his songs wont be striked when jake was striking everyone?', 'you boys never disappoint, and randy was hilarious here. between him and ethan with the number plate and the mexico chime in at the end. more sidemen pumping out the content keeping me roped in still a decade later. cheers', ""josh's face when simon said shush🤣"", 'This vid 1 of best', 'care package pls', 'if she breaths shes a guy', 'More of these please😂', 'christo ronaldo siuwe', 'kj']"
UsPF3szJXc4,"[""Just want to say thank u guys with all my mental health issues and physical health when I'm feeling like I can't cope and carry on I will watch u guys and u make me smile and it helps me feel better keep it up lads"", 'What was the name that was censored', 'W Ryan and Ian for being Derby fans', 'Fastest 30 seconds ever like jeeeeez', ""In the USA adultery is illegal in like 20 states. And it's a Felony in Michigan and Oklahoma"", 'Ethan is high asf', 'Anyone know the so called celebrity was that got beeped out?', 'Bez sunglasses?', '9:14 vikks laugh is absolutely hilarious', 'this was really fun to watch']"
WEK25KcWRjs,"['Not the this or that song 15:51  this violation 😂', '4:06 Simon almost gave himself away😂😂', 'Ay Dani repping the Aussie shirt💯', 'Them voting Harry in the second game out made me so sad', 'Craziest thumbnail Ive seen', '👍', '20:35 Bhez being so happy just to die right after is hilarious🤣🤣', '14:20 ok please someone tell me what vid that was it looks funny af', 'Poor Harry gets bullied so much all he wanted was to play Four Guys bless him I felt sooooo bad regardless 😂😂😂❤', 'Danny rocking the Socorroos top']"
8F4g648Sovs,"['I will admit Prime does taste good', 'He know prime ain’t got no flavor and it’s to tell what it is', 'I love you guys!!!!!!❤❤', 'No way he could of got that wrong  from a branding point of view alone', 'When he’s hold I g that drink it becomes primate', 'What’s the point of the billfold?', 'It was soo good he took a second sip😅', '9', 'he can smell the american chemicals that legally shouldn’t be in the drink in this country', 'What video was this']"
-DV8MK2Obn0,"[""Jesus real name isa pbuh is a prophet of Allah SWT, just read learn and cone up with your own .... But you'll end up coming to Islam , Christmas is a pagan celebration, so y'all pagans"", '“is that the scandinavian name?..” nah fuck off with that slander 😌😌 we would never call him kringle wtf even is that', 'Jj better fucking win missing all these videos they ain’t the same so he better win against dillon', 'ethan is so unbearable', 'Simon: What country is eggnog from?\nEthan: *doesn’t name a country*', 'I love worms <3', 'Class vids', 'Miss You JJ  legend RIP😔', 'I’m Jewish and I would have won', ""Am I the only one who can't stand ethan?""]"
dJat4v8pEDU,"['Josh is the type to say wowie after seeing boobs.', 'Any words to describe it so far? Don’t worry it’s not your final guess don’t worry. \nIt’s a cake of some sort…\nIs that your final answer 😭😭😭', 'josh looks like he sits in his bathtub with dripping mascara because he in a 😜silly goofy mood🤪.', 'you lot cant tast any thing cause your nose controls your taste buds , if you hold you nose and eat or drink something it taste like nothing', 'Josh’s head has its own orbit', 'josh has that Benjamin button affect. old ass mf', 'Life is joshing around with Josh', '10:25 Ayo Simon what do u mean by that 😳🤨👀', 'josh is mr bean bruh', 'Jose is so old that that Greek gods are scared of him']"
wcwI9inrjmw,"['What a Snitch(Minter)😂😂😮', 'Ethan wishes his dad would look at him with the same pride Harry looks at Vik with', 'how was it racist? he isn’t white right? like ukwim', 'Harry approved 👍', 'bro aint vic-tim any longer', 'Harry is proud', 'He thinks he can make racist jokes cause hes indian. why dont u go eat some curry vik', 'Now I want chocolate fingers', 'bro vik is brown too, he aint racist', 'India was voted most racist country in the world so makes sense']"
RKesgidXOLw,"['Vick is ass for that', ""Simom: lads I think I'm having a stroke.\nZerka: Oh God, Why.\nSimon: I've got pins n needles in my left arm.\n\nHarry: Yes. He might not win the last race\n😂\n\nHarry's the GOAT"", '6:22 when you see your exams paper', ""Nah, Harry not having full stamina is a skill issue. The game has been out over 9 years so that's on him."", 'Jesus Christ wants you to repent.', 'Bro Ethan is playing this game on 20 fps. He needs a better PC', '”Im being absolutely fisted“ 😅', 'Looking back at this after Behz said his anger has fizzled out now in the Christmas Mukbang 💀', 'In the first race the balls woulda stopped if jj where there', 'The decent into madness']"
lBOpnhOTmT8,"[""Ethan: drawing \nTobi: drawing \nVikk: we're going for Tobi"", 'Eathan HOW HOW HOW 😂😮', ""I still don't like Randy"", 'No one else see randy wrote kill me on the paper', 'Any1 else hear ksi laugh in the back at gymshark', 'GOD bless you and your family GOD LOVES YOU JESUS HAS A PLAN for YOU AMEN SPREAD THE GOSPEL', 'No hate but this thumbnail was slacking', 'Yasss galatasary my favourite Turkish team 🥰', 'Cant believe they voided that tiktok one😂 Josh clearly had the better one, Ethan’s was backwards lmao', ""Seen as u man r with revolut.... they closed my bank down before Christmas.. had ps in the £600 beg u man talk to the man upstairs . They won't give it bk""]"
GkzKLooTuM4,"['JJ: oh Fack sakes man\nSimon: YEEEEESSS', 'Why was it censored? Its not like there is any dick', ""Aw man I wanted to see the moment when they realized viks points didn't count"", ""You don't need to subscribe, the video is everywhere"", 'Lol 😆', '#StopKSIAbuse', 'kid named strawberry cupcake😏', ""why did they make it seem like its jj's fault. vikk threw the whole video"", 'simon got pretty hype about that 👀', 'Wrong channel 💀']"
H-HqOFvZ0g8,"['6:36 vikk 😭', 'fire', 'Where did Harry go I’m so confused😂', 'Can u send  me  free prime pls', '5:48 vikks facial impression when he said no.1', 'cool', 'jj is so chubby', 'Finish the uncle Marcus game', 'Imagine making a living off ripping off single\nMothers for a shit drink . He deserves that massive FIVE HEAD', ""What's with the face on the thumbnail man?/ Never seen anything more cringe in my life.""]"
1HaLHmAbp1Y,"['0:59 Harry is hilarious', 'I love when vik said that he prefer ai rather than jj then he is the one who stinks', ""14:19 donnie almost 30 and still having those moments it's peak"", '0:13 and he wonders why Ethan guns for him in among us...', 'Why this thumbnail? Just use a Mario kart theme, would get more views aswell', 'We need Mario kart, gta and among us vids to never disappear from this channel', ""by seeing this i can see josh hates vikk\nidk if he's jealous of him or what but yeah he always show's no interest in him"", ""just for the boys in case anyone's wondering. \nprojectiles like the red shell which usually home in on the person directly in front will either go for the next of the other team or just run through the center of the road. therefore to avoid friendly fire don't drive in the direct middle of the road"", 'Please do more team ones need more Mario kart', 'Why not put mario kart in title or thumbnail? I almost skipped this vid bc of that 👎']"
z25sy6dtaiM,"['they could’ve spent the entire 16 min and 10 sec arguing about what you can and cannot have sex with and I would’ve watched the whole thing. love these guys', '0:20 how did vik get away with this', 'Someone else should run these challenges', '3:10 this is a harry being harry', 'Hello.', '3:09', '3:9', 'They called crispy irrelevant 😂', 'Just name any 3 KSi songs', 'What’d crispy ever do😢']"
_Toh-U1u3_Q,"['Someone please tell me the music during Harry’s dance', 'maturing is realising josh is awesome', 'The amount of last minute changes Randy makes, that are based on absolutely nothing, is increadible. He might be the most gullable person I have ever witnessed play this game.\nIn the videos on the Among Us playlist, he was the sole cause of 17 defeats out of 55 games.', '‘There was no sus, he just died’', '4:12 JJ just became the sacrificial goat.', '23:43 bro all Harry wanted to do was show people his dance bruv😭😭', '20:11 KSI asking for a vibe vote then being voted out is hilarious🤣🤣', '15:30 Zerkaa being gaslighted into thinking he was with Bhez and Lazar at the end🤣', '15:43 Zerkaa threw the game with this move🤣', '5:12 the fact that he ACTUALLY voted correctly🤣']"
2eGcnO-Hq60,"['What video is this from?', 'He said Grey age not great lol which implies that some see it as acceptable just like an 18 year old', 'Well that didnt age well', 'Is Talia 7 years old', 'Behz has been acting a bit noncey lately ngl', ""I rewatched like a million times. It's so good 😊😊"", 'This aged greatly', '“Great age” - Behzinga', 'To everyone asking what video this is from Sidemen Offensive Try Not To Laugh', 'Another normal sentence to say if your a part of the sidemen']"
sXDBXVjKbp8,"[""We have a chance to get the UK's Christmas Number 1 with this!\r\nThe song is only 59p & all proceeds go to the charity Fareshare!\r\nGet it nowwwwwww: https://www.christmasdrillings.com/"", ""Bruh. I'm still listening to this in February 😂 such a tune 👌🏽"", 'nioce', 'Tobi🔥🔥🔥', 'Tobi’s verse >>>', 'February and I’m still listening to this 💀', 'Tobi killed it', 'Tobi was lit', 'THE SIDEMEN ABSOLUTELY KILLED IT', 'Tobis verse tho-']"
ddyHiDD27Us,"['All time legends', 'GOLD', ""harry at the start had me dead ''SaAaAnNnNnTAaaAaAa''"", 'Actually better than creature', 'Lol harry at the start', 'MERRY VALENTINES DAY', '0:58 best part by faaaaar 😂', 'This is what a fever dream is like', ""Vik's been done dirty 🤣🤣🤣"", 'To be fair tho 1:56 is a hit bruv']"
n5vAJu4tTIo,"['5:59 they really love harry as their little brother', 'Wagwan generals😂', '10:18 twenty twenty twelve 😂😂😂', 'Watching Simon and Josh throw bombs and calling each other sweats is such a throwback to the old GTA days', 'Wine pon the gta cocky 🤣🤣🤣🤣🤣', 'Harry saying 20-2012 😂', ""we don't have to see ethans pov btw"", 'Jamaican harry is best harry', 'Make-a-wish gaming 🤣', 'Aww poor Harry he’s so bad at this']"
1PoWToj_gsc,"['5:40 lmao', 'Mph is exclusively American 😭😭😭', 'They cheated against harry playing alone and still lost 😂😂', 'Harry is too good hahaha', '1:30 Lol the largest redwood tree in the world is in California 84 meters tall', 'Good old geoguesser', 'Does anyone know where that picture of harry is from at 4:57', 'Damn wanted a reaction with the win :(', 'ARGENTINA', 'Offended from nz booooo']"
-glrHuGgAC4,"['Ngl I feel bad for JJ. He was waiting for that the whole time and Ethan just had to ruin it for him', 'Next day ethen was dead', 'vikkys eyes calibrate before every shot he takes', 'Behz is a bitch for that one', 'You can’t make that up when JJ got it in his own cup 😂', ""This would've been better with different forfiets and only a limited amount of drinks so u can't pussy out"", 'Ethan is that friend we all have that makes us want to fight them but can’t cuz we friends lol', '.', 'If I was jj I would have smashed the shit out of that table and said fu*k it', '2:01 bro i can’t even see jj swish it😟']"
JKWnAwQaRPU,"[""They're playing with bots, and auto steer........"", 'I don’t know if anyone knows this, but the antenna that lights up yellow on the kart helps you stay on the track and on perfect driving line. ( and not everyone has it on) should be off.', 'episode 3, come on', 'I always charge while I play', 'mm7 is such a loser', 'Ethan getting angry at Mario kart is such a wonderful thing to see. The salt is in the tonnes', 'simon crying over getting 3rd, what a baby. Hes becoming my least favorite sidemen', 'I need so much more of this! This is great content!', ""What's the name of the music in background in last race??"", 'Keep this shit going, please']"
RqUT5vfizQk,"['To be fair tho', 'I usually skip this part and go straight to the orgy but you know what ever', 'Bruv ksi resorting to farts where did the funny go', 'That was indeed, nuts', 'The fact that he looks proud of himself as well🤣', 'I could smell his fart', 'i could smell it from here lmfao', '""That was nuts"" it was also ass. Alot of it', 'Neither can vik 😂', 'Vik: YeS sIMoN']"
y-MU0wx0i3c,"['The best fake reaction ever 😂', 'Viks loving this challenge', 'Bro that  raid shadow legends', 'Violation 😂', 'Hello sidemen', 'Lt me out the box - Behz', 'Follow Jesus footsteps', 'why did i just get a noti for this? lol', 'that is one fucking revolting human, chipfat needs some milk', 'Best betrayal in anime:']"
c4Ra1DTjSJc,"['Harry should have been in this video please do this again with Harry', 'Part 2!', '6:58', 'I dont get the hip hip hooray', 'They stole one of my jokes! Thieving bastards', 'We needed Harry in this one', 'This is funny af 🤣😂🤣😂', 'If only KSI could control his laughter this much during the Try Not To Laugh (Money Edition) he wouldn’t have lost so much money 😂', 'Love these vids', '10:36']"
e8nrpyUFY7Y,"[""Why didn't the idiot eat the golden Apple then try to kill Vik? Instead he kept asking Vik to spare him and saying he will give him the apple while Vik is killing him saying I don't want the apple 😂"", 'I miss techno playing hunger games :(', 'randy pressing e everytime :DDD', 'Mum! IVE JUST WON A HUNDRED GRAND , mum:who gives a shit', 'Not gonna lie lazar going creative kinda lame', 'i love you so much SIDEMEN, meow meow', ""Mr beast keeping true to his roots. While a appreciate him promoting you, because content is okay (content ideas are not original). Sidemen is a new sub for me.  \n\n Hide and seek is my favorite. So many creator's owe it to MrBeast. I kill time watching other favorites. \n\nStop using his ideas and use that. Continue to use Mrbeast team vs Sidemen"", 'this map sure brings back memories', 'Need more of this please', 'watching randolf open his inventory and not the chests EVERY SINGLE TIME infuriates me.']"
QmCnhpdUEcE,"['I would love The Sidemen to be carried by a pro in this game', 'Bro absolutely love this game', 'Multiverses is gunna be a lot like fallguys cool for first few weeks then sucks few years later it’s popping in the algorithm again', 'okkkk', 'Whats this game called again', 'that last fight was so fucking epic wtf', 'played multiversus before smash 🤨', 'Vik is honestly so cringe 😭', ""This is the only video I haven't watched in months, not knowing this was a multiversus video... I'm glad I decided to watch this"", ""Josh's technique is the same as mine, just mash random buttons and hope for the best""]"
uhIqBRqxeNQ,"['Vic the only one on keyboard n mouse ahahahaha', '4:40 vik ranked LEVEL 69', 'MORE!!!!', 'Whyd the proximity chat with the car sound like Randolph!', '3:17 WAS HELLA FUNNY LMAO', 'Ethan look like a old guy trying to play modern games', 'Bro why are they so good. I would love more vids of these 4 playing warzone keep up the great work👍', 'Its weird seeing really quiet warzone', '10:18 Simon tilting his head like he’s actually getting shot. We all do it😂', 'Smh YouTube took moresidemen out my recommended, got 2 weeks of vids to binge']"
vFRM9ZoOPlU,"['7:48 lol', ""It's pretty simple\nIf behz is killed early \nCrew wins \nAnd if he isn't \nImposters win"", 'Is it just me or the thumbnails are changing', 'Don’t they hear each other? Then wonder why no one is talking if they’re dead?', 'haroldinho genius', 'In my opinion, Randy is an honorary sideman at this point..', 'tobi""bro you look kinda tasty""bro dipped jj asap.', 'lachlan and minter friendship is top notch.', ""JJ as a ghost can tell if the imposter kills this guy and that guy, is gonna be a big play! But can't tell it when he is actually the imposter! LOL"", '1:30 I CAN’T GET OVER THIS LMAO']"
q--eNhElTMA,"['Fun fact not even mr monopoly has a monocole :D 9:34', 'amazing', ""Cool fact: Red Bull's logo remained identical"", ""They're so much fun"", 'Jurassic park is B', 'Michael b Jordan is A', 'Bayern Munich is A', 'Pepsi is C', 'J\nU\nS\nT\nI\nN\n\nI\nS\n\nT\nH\nE\n\nG\nO\nA\nT', 'Who else felt that the logos were moving whenever you looked at them']"
0JWBQjbzjZ8,"['I preferred when their muted whisked playing', 'behz is so terrible lmao', ""16:13 Randy doesn't feel so smart watching this over now doesn't he"", 'In the beginning, Zerkaa made two kills and he fumbled both times. Does broski not know that vents exist😭', '5:08 ""notice how they killed the black people first""🤣🤣', '12:44 \n\n16:26', 'Ethan is an idiot for what happened, but him and Randy wouldve never seen Simon on lights if Lazar called the body immediately', '2\n😮\n\n\n😊😊', '2:18 lannon says “you can kill me if you want it’s fine I’ll vouch for u “', 'Harry makes among us so funny😂😂😂']"
NnFuIelf8dw,"[""Crazy how they guessed yuya was Spanish with a name that's also Japanese"", 'KSI VS JAKE PAUL 2023? OR MAYBE 2024?', 'i love the dap pen behind harry or its a vape lol for real chilling', ""10:18 It's so close that I almost can feel it."", 'JJ winning while asleep', 'JJ falling asleep 😂😂😂', 'Some of y’all must went to mikecrack because ain’t no way he got 3 mil within 3 weeks 😂😂', ""JJ: oh man I'm just chilling 😴"", 'what t v is tht', 'This slaps!']"
1GEV19NwJ-o,"['Josh old ass couldnt catch up to the ball, he got lucky lmao grandma legs', 'you can tell this was supposed to be a main channel vid but too much stuff went wrong! still a banger', 'When Josh went and the drone flew by I thought they through a baby', 'what videp is this', 'When tf they post this?', 'Deji and ethan really act like brothers 🤣', 'so funny how sx is just part of the group now like randolph and cal', 'I don’t get 5:45. Why is it “pluuuuuuug”??', 'Deji really popped the ball 😂😂😂', 'Deji getting back and involved with']"
ULdxacAtCXg,"[""The fact that he has a video on here and not his actual channel should tell you what he thinks about his fans honestly. Youtube Data Analytics'all are fuckin braindead."", 'yall needa get harry to play outlast next omg', 'Bro posted on the moresidemen channel before his own💀', 'Why the jumpscare sound is richtofen mystery box going away 😂😂😂', 'this is by far the funniest video ive watched', 'why is the death noise the black ops 2 mystery box moving noise. That sound will always haunt me', 'me running in a dream 💀', 'Harry x Coryxkentian Collab : petition', 'Inside the backrooms is also a great multiplayer game to play.', 'can we have a part 2?']"
pCMFBlAUC0o,"['I knew it was Hungary straight away', 'This just proves Ethan is the idiot of the group', 'Ethan as host is always the best because its so casual and fun', 'ngl i thought the dude perfect one was sneako, would have fit pretty well imo', 'E.d.🎱', 'Big up Torquay even tho it ain’t no city 😂😂😂', 'BAHRAIN', 'The sidemen should get a dog that is int the videos', '🧔🏽\u200d♂️👹', 'The thumbnail is isnowspeed']"
jKODA1wpLAY,"['Ethan’s imaginary dad comment was under rated', 'waterboy cut got me weak😂', '9:24', 'Ethan went to a dark place to finish those crackers off 😭🤣🤣', 'Vik woke up feeling violent', 'JJ is so funny love you jj', '""That was the saddest thing I\'ve seen"" HAHAHAAH the way he mimics josh for leaning for the cake I\'m crying', 'Josh needs to let his balls drop still sounding like Micky fucking mouse 😂', 'wait dont ethan have celiacs as well thats fucked up making him eat crackers if im remembered that right if not il shut up lol', '10:32 JJ watching his teammates arguing and finally saying he will do it and then get shut down🤣🤣']"
